Scene No,Query,Image Index,Object Present,Confidence
40753679,ball,0,no,0.9971510767936707
40753679,ball,3,no,0.5680360794067383
40753679,ball,14,no,0.969420313835144
40753679,ball,21,no,0.951910674571991
40753679,ball,23,no,0.8582983613014221
40753679,ball,33,yes,0.5305670499801636
40753679,ball,34,no,0.7304330468177795
40753679,ball,39,no,0.6863098740577698
40753679,ball,42,no,0.8081769943237305
40753679,ball,43,no,0.8001705408096313
40753679,ball,49,no,0.8964470624923706
40753679,ball,56,no,0.761339008808136
40753679,ball,57,yes,0.675973117351532
40753679,ball,64,yes,0.8710819482803345
40753679,ball,69,no,0.9482161998748779
40753679,door,0,no,0.5142760872840881
40753679,door,1,yes,0.5452475547790527
40753679,door,5,no,0.8164371848106384
40753679,door,10,no,0.8601664304733276
40753679,door,12,yes,0.9488778710365295
40753679,door,20,no,0.6562857627868652
40753679,door,26,no,0.801854133605957
40753679,door,27,no,0.7082400918006897
40753679,door,30,yes,0.7566299438476562
40753679,door,31,yes,0.9744437336921692
40753679,door,32,yes,0.9493927955627441
40753679,door,37,no,0.8696683645248413
40753679,door,40,no,0.9006561636924744
40753679,door,50,no,0.949083149433136
40753679,door,52,no,0.7056183218955994
40753679,door,55,no,0.9355993270874023
40753679,door,57,no,0.8510666489601135
40753679,door,63,yes,0.9985226988792419
40753679,door,69,no,0.5062919855117798
40753679,door,73,no,0.5573940277099609
40753679,door,77,no,0.8561325669288635
40753679,door,78,no,0.675104558467865
40753679,floor,10,no,0.8414239287376404
40753679,floor,11,no,0.7651130557060242
40753679,floor,16,yes,0.9999723434448242
40753679,floor,18,yes,0.9999163150787354
40753679,floor,25,yes,0.9865942001342773
40753679,floor,41,no,0.8599412441253662
40753679,floor,45,yes,0.9999967813491821
40753679,floor,46,yes,0.9981960654258728
40753679,floor,47,yes,0.9978938698768616
40753679,floor,54,no,0.9786677956581116
40753679,floor,57,no,0.976125955581665
40753679,floor,58,no,0.9427110552787781
40753679,floor,62,yes,0.9851793646812439
40753679,floor,65,no,0.8784576058387756
40753679,floor,67,no,0.8900779485702515
40753679,floor,70,yes,0.9998763799667358
40753679,floor,73,yes,0.9999909400939941
40753679,floor,75,yes,0.9972580671310425
40753679,floor,76,yes,0.9993717074394226
40753679,painting,2,no,0.6661480665206909
40753679,painting,3,no,0.865854799747467
40753679,painting,6,no,0.5790823698043823
40753679,painting,9,no,0.9085034132003784
40753679,painting,12,no,0.5904399156570435
40753679,painting,16,yes,0.5318607687950134
40753679,painting,24,no,0.5987896919250488
40753679,painting,28,no,0.7428680062294006
40753679,painting,38,no,0.9369277358055115
40753679,painting,44,no,0.9204791188240051
40753679,painting,69,no,0.9104330539703369
40753679,painting,73,no,0.8015315532684326
40753679,painting,77,no,0.9188022017478943
40753679,sofa,1,no,0.9246280193328857
40753679,sofa,9,no,0.7729870080947876
40753679,sofa,17,yes,0.798316240310669
40753679,sofa,26,no,0.955782413482666
40753679,sofa,49,no,0.819083034992218
40753679,sofa,59,no,0.857132613658905
40753679,sofa,65,no,0.7171882390975952
40753679,sofa,74,no,0.5105825662612915
40753679,table,1,yes,0.9999865293502808
40753679,table,2,yes,0.9998229146003723
40753679,table,9,no,0.9365198612213135
40753679,table,10,no,0.9110492467880249
40753679,table,13,no,0.9570284485816956
40753679,table,23,yes,0.9960721731185913
40753679,table,27,yes,0.9991577863693237
40753679,table,29,yes,0.9999945163726807
40753679,table,36,no,0.961111843585968
40753679,table,42,no,0.9486604928970337
40753679,table,43,no,0.9296889901161194
40753679,table,45,no,0.8871080279350281
40753679,table,49,no,0.9564443230628967
40753679,table,50,no,0.9597955346107483
40753679,table,51,no,0.9557160139083862
40753679,table,56,no,0.9577817320823669
40753679,table,63,no,0.7693439722061157
40753679,table,76,yes,0.9998612403869629
40753679,wall,3,yes,0.9640331864356995
40753679,wall,4,yes,0.900348961353302
40753679,wall,9,yes,0.988609790802002
40753679,wall,11,no,0.7830468416213989
40753679,wall,18,yes,0.9311029314994812
40753679,wall,19,yes,0.8872308731079102
40753679,wall,21,yes,0.9334266185760498
40753679,wall,24,yes,0.5577735304832458
40753679,wall,28,yes,0.9683666825294495
40753679,wall,38,yes,0.7093104720115662
40753679,wall,49,no,0.7944853901863098
40753679,wall,52,yes,0.704313337802887
40753679,wall,55,yes,0.873734712600708
40753679,wall,56,no,0.7696632742881775
40753679,wall,60,yes,0.7853794693946838
40753679,wall,62,yes,0.9719080924987793
40753679,wall,63,yes,0.9915233850479126
40753679,wall,67,yes,0.5450767874717712
40753679,wall,70,yes,0.9861460328102112
40753679,wall,77,no,0.7045580148696899
40753679,window,9,yes,0.6440433263778687
40753679,window,10,no,0.6695953011512756
40753679,window,17,yes,0.9827725291252136
40753679,window,20,yes,0.9633130431175232
40753679,window,23,no,0.6009326577186584
40753679,window,25,no,0.7439070343971252
40753679,window,31,yes,0.9898027777671814
40753679,window,34,yes,0.994264543056488
40753679,window,40,no,0.7459894418716431
40753679,window,51,no,0.7699543237686157
40753679,window,59,no,0.6896920204162598
40753679,window,67,yes,0.953871488571167
40753679,window,69,yes,0.6156159043312073
40753679,window,70,yes,0.5534909963607788
40753679,window,71,no,0.9113297462463379
47333462,ball,0,no,0.9507037997245789
47333462,ball,4,no,0.9497193694114685
47333462,ball,8,no,0.9476231336593628
47333462,ball,10,no,0.8231924772262573
47333462,ball,12,no,0.8785450458526611
47333462,ball,13,no,0.8990480303764343
47333462,ball,14,no,0.8975913524627686
47333462,ball,16,no,0.8919926285743713
47333462,ball,18,no,0.9026961326599121
47333462,ball,19,no,0.8010535836219788
47333462,ball,22,no,0.8235618472099304
47333462,ball,27,no,0.9059783816337585
47333462,ball,34,no,0.9091421365737915
47333462,ball,40,no,0.79646897315979
47333462,ball,45,no,0.895284116268158
47333462,ball,51,yes,0.8181214928627014
47333462,ball,64,no,0.9331321716308594
47333462,ball,70,yes,0.8157445788383484
47333462,ball,77,no,0.8500827550888062
47333462,ball,81,yes,0.9973451495170593
47333462,ball,82,no,0.5567915439605713
47333462,door,1,no,0.9578883051872253
47333462,door,6,no,0.9609267711639404
47333462,door,7,no,0.9713320136070251
47333462,door,9,yes,0.5284663438796997
47333462,door,16,yes,0.6409922242164612
47333462,door,22,no,0.7652813792228699
47333462,door,37,yes,0.7043696641921997
47333462,door,38,yes,0.9499342441558838
47333462,door,49,yes,0.6988807916641235
47333462,door,51,no,0.8000314831733704
47333462,door,53,no,0.7243666648864746
47333462,door,55,no,0.6990869641304016
47333462,door,59,no,0.9306029081344604
47333462,door,66,yes,0.7470518350601196
47333462,door,70,no,0.8396996855735779
47333462,floor,20,no,0.9326854944229126
47333462,floor,24,yes,0.9987589120864868
47333462,floor,27,yes,0.9995672106742859
47333462,floor,31,yes,0.6973891854286194
47333462,floor,32,no,0.5612730979919434
47333462,floor,34,no,0.9272315502166748
47333462,floor,37,no,0.8421247005462646
47333462,floor,45,no,0.7978529334068298
47333462,floor,48,no,0.8157994747161865
47333462,floor,52,yes,0.9802030324935913
47333462,floor,54,yes,0.9995179176330566
47333462,floor,62,yes,0.9516348838806152
47333462,floor,69,no,0.8950584530830383
47333462,floor,73,yes,0.6530535221099854
47333462,floor,83,yes,0.9837164878845215
